Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Flygande Jakob Kyckling bacon jordnötter banan	100	0,7	914	218	14,8	5,3	0,0	15,3	6,8	5,8	1,6	0,6	0,2	0,7	3,8	1,4	0,0	0,6	5,0	1,3	0,1	0,0	0,0	0,0	0,0	1,3	2,1	1,3	90	81	1,00	1,61	1,61	100	0,10	0,16	2	8,8	6,1	0,29	0,31	19	176	1,04	348	29	28	252	7,6	1,28	67,9	1,8	62,2	6	
Flytande margarin Becel 82% fett	100	0,0	3 034	725	0,0	0,0	0,0	82,0	10,0	30,0	42,0	0,0	0,1	0,1	4,4	3,2	0,0	0,0	29,7	35,0	5,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	26,00	26,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	0	0,0	0,00	0,0	0,0	18,0	0	
Flytande margarin Keiju 80% berik	100	0,0	2 960	707	0,0	0,0	0,0	80,0	6,5	48,6	21,2	0,0	0,0	0,1	3,5	1,7	0,5	0,2	46,8	14,7	6,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	900	900	7,50	16,00	16,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	600	0,0	0,00	0,0	1,5	18,5	0	
Flytande margarin Keiju Mjölkfritt 80% berik	100	0,0	2 960	707	0,0	0,0	0,0	80,0	7,5	47,3	21,4	0,0	0,2	0,2	4,0	1,8	0,5	0,2	45,5	14,5	6,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	900	900	7,50	16,00	16,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	400	0,0	0,00	0,0	1,0	19,0	0	
Flytande margarin Mjuka milda 80% fett berik	100	0,0	2 972	710	0,3	0,4	0,0	80,0	10,0	48,0	22,0	0,0	0,1	0,2	5,6	1,4	0,0	0,0	45,7	15,9	8,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	800	800	10,00	18,00	18,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	0	0,00	0	0	0	600	0,0	0,00	0,0	1,5	17,8	0	
Fläderbär	100	6,8	279	67	0,7	11,4	0,0	0,5	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,0	6,3	0,2	0,2	30	0	0,00	1,00	1,00	360	0,07	0,06	36	0,6	0,5	0,23	0,00	17	39	1,60	280	38	17	5	0,0	0,30	0,0	0,6	80,0	6	
Fläsk sida gris m svål i bit	100	0,0	1 121	268	17,2	0,0	0,0	22,4	9,7	9,2	2,5	0,0	0,0	0,4	5,7	3,4	0,1	0,8	8,1	1,9	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	9	9	0,48	0,40	0,40	0	0,48	0,18	0	6,0	2,8	0,26	0,65	2	200	0,50	200	6	14	60	6,9	3,60	67,0	0,9	59,5	0	
Fläskben gris	100	0,0	808	193	17,7	0,0	0,0	13,7	5,9	5,6	1,5	0,0	0,0	0,3	3,5	2,1	0,0	0,5	5,0	1,2	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,91	0,36	0	8,8	5,6	0,53	0,68	7	182	1,48	325	11	27	57	10,0	2,90	58,0	1,0	67,6	70	
Fläskben m kött gris kokta	100	0,0	1 306	312	28,6	0,0	0,0	22,2	9,6	9,1	2,4	0,0	0,0	0,4	5,7	3,3	0,1	0,7	8,0	1,9	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	15	15	0,92	0,65	0,65	0	1,03	0,41	0	14,3	9,0	0,43	0,71	8	295	2,40	526	20	44	630	16,2	4,69	93,8	3,0	46,3	113	
Fläskbog gris konserv inkl 6-8% gelé	100	0,0	485	116	16,6	0,2	0,0	5,4	2,1	2,5	0,6	0,0	0,0	0,1	1,3	0,7	0,0	0,2	2,3	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2	2	0,63	0,30	0,30	0	0,57	0,37	0	8,1	5,1	0,27	0,80	6	140	0,70	265	15	19	900	8,0	1,40	38,0	3,8	74,0	0	
Fläskfilé gris	100	0,0	446	107	20,6	0,0	0,0	2,6	1,0	1,2	0,3	0,0	0,0	0,0	0,6	0,3	0,0	0,1	1,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,30	0	0,83	0,25	0	12,3	8,5	0,54	0,76	3	204	1,45	373	5	27	49	12,0	1,70	50,0	1,3	75,5	0	
Fläskfilé gris stekt i skivor	100	0,0	650	155	28,1	0,0	0,0	4,6	1,4	2,3	0,7	0,0	0,0	0,1	0,9	0,5	0,0	0,1	2,1	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12	12	0,78	0,82	0,68	0	0,79	0,27	0	16,8	11,7	0,59	0,83	3	279	1,98	509	7	37	210	16,4	2,32	68,3	2,1	65,1	0	
Fläskfärs gris 20% fett	100	0,0	1 012	242	16,0	0,0	0,0	20,0	8,6	8,2	2,2	0,0	0,0	0,4	5,1	3,0	0,1	0,7	7,3	1,7	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	9	9	0,48	0,40	0,40	0	0,62	0,23	0	6,6	3,7	0,35	0,65	2	182	0,83	325	7	24	57	5,8	2,90	58,0	1,0	63,0	0	
Fläskfärs gris 8% fett	100	0,0	602	144	18,0	0,0	0,0	8,0	3,5	3,3	0,9	0,0	0,0	0,1	2,1	1,2	0,0	0,3	2,9	0,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,90	0,29	0	12,1	8,8	0,54	0,60	3	204	1,36	373	7	27	66	10,0	2,20	58,0	1,1	72,9	0	
Fläskkarré gris	100	0,0	717	171	17,8	0,0	0,0	11,2	4,8	4,6	1,2	0,0	0,0	0,2	2,9	1,7	0,0	0,4	4,1	1,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,91	0,36	0	8,9	5,6	0,54	0,68	7	182	1,48	325	11	27	57	10,0	2,90	58,0	1,0	70,0	35	
Fläskkarré gris stekt i skivor	100	0,0	1 152	275	28,6	0,0	0,0	18,0	7,8	7,4	2,0	0,0	0,0	0,3	4,6	2,7	0,0	0,6	6,5	1,5	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	14	14	0,92	0,64	0,64	0	1,02	0,46	0	14,2	9,0	0,69	0,87	8	293	2,38	522	18	44	251	16,1	4,66	93,2	2,0	51,4	56	
Fläskkarré gris stekt u steksky	100	0,0	973	233	19,6	0,0	0,0	17,3	7,5	7,1	1,9	0,0	0,0	0,3	4,4	2,6	0,1	0,6	6,3	1,5	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	12	12	1,00	0,30	0,30	0	0,56	0,34	0	8,0	4,4	0,32	0,70	5	210	2,30	355	14	27	465	3,0	3,70	98,0	1,8	61,3	0	
Fläskkorv ca 21% fett kokt	100	0,0	978	234	9,1	3,8	0,0	20,5	8,9	8,4	2,3	0,0	0,0	0,4	5,3	3,1	0,1	0,7	7,4	1,8	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	6	6	0,25	0,30	0,30	0	0,18	0,11	0	4,0	2,3	0,15	1,10	3	94	0,90	125	12	12	830	2,0	1,20	65,0	2,6	64,0	0	
Fläskkorv ca 23% fett rå	100	0,0	1 044	250	8,0	4,0	0,0	22,7	9,8	9,3	2,5	0,0	0,0	0,4	5,8	3,4	0,1	0,8	8,2	2,0	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	7	7	0,25	0,30	0,30	0	0,18	0,11	0	3,8	2,3	0,15	1,10	6	94	0,90	125	12	12	830	2,0	1,20	65,0	2,3	63,0	0	
Fläskkotlett gris fett bortskuret	100	0,0	430	103	21,6	0,0	0,0	1,7	0,6	0,8	0,2	0,0	0,0	0,0	0,4	0,2	0,0	0,1	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,83	0,25	0	12,5	8,5	0,54	0,76	3	204	1,45	373	6	27	53	12,0	1,70	50,0	1,3	75,4	15	
Fläskkotlett gris m 2 mm fettkant	100	0,0	562	134	20,0	0,0	0,0	6,0	2,6	2,5	0,7	0,0	0,0	0,1	1,5	0,9	0,0	0,2	2,2	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,90	0,29	0	12,5	8,8	0,54	0,60	3	204	1,36	373	7	27	76	10,0	2,20	58,0	1,2	72,8	20	
Fläskkotlett gris m 5 mm fettkant	100	0,0	774	185	19,4	0,0	0,0	12,0	5,2	4,9	1,3	0,0	0,0	0,2	3,1	1,8	0,0	0,4	4,4	1,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,91	0,36	0	9,2	5,6	0,53	0,68	7	188	1,48	325	6	27	62	10,0	2,90	58,0	1,1	67,5	20	
Fläskkotlett gris panerad stekt	100	0,4	1 107	265	20,3	7,3	0,0	17,0	5,7	7,9	2,8	0,0	0,0	0,2	3,3	1,9	0,1	0,4	7,3	2,0	0,5	0,0	0,0	0,0	0,1	0,1	0,2	0,0	28	27	0,66	1,75	1,75	4	0,62	0,32	0	9,2	5,5	0,42	0,63	12	212	1,73	337	16	32	647	11,7	2,85	92,7	2,6	52,2	20	
Fläskkotlett gris stekt	100	0,0	1 028	246	25,8	0,0	0,0	15,9	6,9	6,6	1,8	0,0	0,0	0,3	4,1	2,4	0,0	0,5	5,8	1,4	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	12	12	0,76	0,53	0,53	0	0,85	0,38	0	12,2	7,4	0,56	0,72	7	250	1,97	432	8	36	214	13,3	3,85	77,1	1,8	56,5	27	
Fläskkött grillat	100	0,0	1 080	258	26,0	0,0	0,0	17,2	7,4	7,1	1,9	0,0	0,0	0,3	4,4	2,6	0,0	0,6	6,3	1,5	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	13	13	0,81	0,57	0,57	0	0,91	0,41	0	12,7	8,0	0,61	0,77	8	259	2,11	463	13	39	226	14,2	4,13	82,6	1,8	54,9	43	
Fläskköttgryta  m grönsaksblandning utan fett	100	1,3	561	134	15,1	5,8	0,0	5,2	2,2	2,1	0,7	0,0	0,0	0,1	1,3	0,8	0,0	0,2	1,8	0,5	0,1	0,0	0,0	0,0	0,0	0,2	0,8	0,8	111	6	0,40	0,43	0,43	1 262	0,50	0,22	2	7,8	5,1	0,22	0,29	14	147	1,88	356	23	32	354	8,0	2,30	40,7	1,9	70,5	0	
Fläskköttgryta gris grönsaker	100	1,7	414	99	7,1	4,4	0,0	5,6	1,6	2,7	1,2	0,0	0,0	0,1	0,9	0,5	0,0	0,1	2,6	0,8	0,3	0,0	0,0	0,0	0,0	2,3	0,4	0,4	14	3	0,17	1,15	1,15	132	0,23	0,12	13	3,8	2,5	0,13	0,18	23	92	0,88	343	30	20	292	4,1	1,14	17,3	1,6	79,7	8	
Fläsklägg gris u svål kokt	100	0,0	853	204	31,9	0,0	0,0	8,4	3,6	3,5	0,9	0,0	0,0	0,1	2,2	1,3	0,0	0,3	3,1	0,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15	15	0,92	0,65	0,65	0	1,02	0,33	0	20,1	14,2	0,43	0,63	3	260	2,21	604	13	44	661	16,2	3,56	97,0	3,0	56,8	105	
Fläsklägg u svål gris putsad	100	0,0	527	126	19,7	0,0	0,0	5,2	2,2	2,1	0,6	0,0	0,0	0,1	1,3	0,8	0,0	0,2	1,9	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,90	0,29	0	12,4	8,8	0,54	0,60	3	160	1,36	373	7	27	76	10,0	2,20	60,0	1,0	74,1	65	
Fläskpannkaka	100	0,5	971	232	9,6	17,8	0,0	13,6	5,9	5,2	1,4	0,2	0,1	0,4	3,4	1,8	0,0	0,4	4,6	1,1	0,1	0,0	0,0	0,0	0,1	0,1	3,5	0,0	54	53	0,38	0,54	0,54	17	0,19	0,19	0	3,4	1,5	0,15	0,55	12	174	0,72	206	91	20	535	7,6	1,50	95,9	2,1	56,5	2	
Fläskött gris kokt	100	0,0	940	225	30,3	0,0	0,0	11,5	5,0	4,7	1,3	0,0	0,0	0,2	2,9	1,7	0,0	0,4	4,2	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15	15	0,93	0,66	0,66	0	1,06	0,45	0	15,6	10,0	0,43	0,67	7	263	2,47	612	14	45	721	18,0	4,59	95,1	3,4	54,8	0	
Fransk omelett kaffegrädde	100	0,0	816	195	10,4	0,7	0,0	16,9	5,6	7,3	2,4	0,0	0,2	0,1	4,2	0,9	0,0	0,3	7,0	1,8	0,5	0,1	0,0	0,0	0,1	0,2	0,7	0,0	212	209	1,71	2,20	2,20	33	0,06	0,33	0	2,6	0,0	0,09	1,00	26	178	1,49	134	67	13	454	18,9	0,32	327,0	1,7	70,2	9	
Fransk omelett vatten	100	0,0	642	154	9,9	0,0	0,0	12,8	2,7	6,5	2,4	0,0	0,0	0,0	1,9	0,6	0,0	0,3	6,2	1,6	0,5	0,1	0,0	0,0	0,1	0,2	0,0	0,0	163	160	1,10	2,64	2,64	33	0,05	0,32	0	2,5	0,0	0,08	1,00	26	157	1,49	99	41	11	445	18,8	0,24	326,7	1,6	75,7	9	
Fransk äppelkaka 	100	2,1	353	84	0,6	15,7	0,0	1,6	0,5	0,7	0,3	0,0	0,0	0,0	0,4	0,1	0,0	0,0	0,7	0,2	0,1	0,0	0,0	0,0	0,0	8,7	5,1	5,1	15	14	0,16	0,54	0,54	14	0,01	0,02	7	0,3	0,2	0,02	0,02	3	19	0,22	136	6	8	11	0,4	0,02	6,7	0,3	79,7	10	
Fransyska nöt	100	0,0	483	116	20,8	0,0	0,0	3,5	1,5	1,4	0,2	0,0	0,0	0,1	0,8	0,5	0,0	0,1	1,3	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5	4	0,50	0,10	0,10	8	0,08	0,27	0	7,3	3,5	0,44	1,20	13	185	2,40	333	6	21	64	8,0	4,80	53,0	1,1	74,6	14	
Friséesallat	100	2,2	62	15	1,2	1,0	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,2	0,7	0,7	103	0	0,00	0,10	0,10	1 230	0,08	0,08	7	0,6	0,4	0,02	0,00	142	28	0,80	315	52	15	22	1,0	0,80	0,0	1,4	94,0	14	
Friterad banan	100	1,9	866	207	3,2	35,3	0,0	5,3	0,9	1,2	2,9	0,0	0,0	0,0	0,6	0,2	0,0	0,0	1,1	2,5	0,4	0,0	0,0	0,0	0,0	5,5	5,2	5,0	44	41	0,34	1,02	1,02	37	0,11	0,08	4	1,8	1,3	0,32	0,02	15	289	0,59	333	340	31	347	1,0	0,42	0,0	2,2	52,1	28	
Friterad banan m glass restaurang	100	1,7	1 058	253	2,4	30,3	0,0	13,2	2,7	5,3	4,7	0,4	0,2	0,1	1,4	0,5	0,1	0,0	5,1	4,3	0,4	0,0	0,0	0,0	0,0	7,8	11,7	9,7	1	6	0,10	4,70	4,70	11	0,03	0,07	0	0,8	0,4	0,15	0,11	15	119	0,24	190	33	14	201	1,4	2,15	2,9	1,0	51,4	0	
Friterad bläckfisk	100	0,2	1 220	292	18,6	15,2	0,0	17,4	3,1	8,0	5,5	0,0	0,0	0,0	2,5	0,0	0,0	0,0	8,0	3,5	1,3	0,0	0,0	0,3	0,0	0,0	1,0	0,7	38	38	0,81	0,90	0,90	0	0,15	0,90	0	4,2	0,8	0,04	3,80	10	89	0,60	150	29	43	570	20,0	1,70	160,0	2,0	46,6	0	
Friterad bläckfisk restaurang	100	0,0	1 173	280	11,3	19,1	0,0	17,8	2,6	6,3	8,1	0,0	0,0	0,1	1,8	0,6	0,1	0,0	6,1	7,3	0,4	0,0	0,1	0,0	0,3	0,0	0,0	0,0	7	7	0,11	10,90	10,90	5	0,02	0,06	0	3,2	1,1	0,10	1,87	13	146	0,26	74	13	15	605	24,5	0,87	118,0	1,8	50,1	0	
Friterad fisk	100	0,4	631	151	15,1	10,0	0,0	5,4	0,8	1,2	3,0	0,0	0,0	0,0	0,6	0,2	0,0	0,0	1,2	2,5	0,4	0,0	0,0	0,0	0,1	0,0	0,2	0,0	45	45	1,13	0,82	0,82	0	0,14	0,07	0	5,7	2,9	0,17	0,56	8	151	0,37	272	27	21	182	18,1	0,39	38,0	1,2	67,9	35	
Friterad kyckling	100	0,7	1 297	310	22,5	5,8	0,0	21,9	5,8	9,0	5,2	0,0	0,0	0,1	3,9	1,7	0,0	0,7	8,1	4,6	0,3	0,1	0,0	0,0	0,0	0,0	0,0	0,0	50	50	1,50	0,15	0,15	0	0,07	0,18	0	10,7	6,6	0,31	0,20	5	172	1,20	250	15	25	538	5,0	1,30	75,0	2,1	47,0	0	
Friterad äppelpaj	100	1,7	1 269	303	2,6	35,1	0,0	16,6	5,5	8,1	1,9	0,2	0,6	0,4	2,3	1,9	0,1	0,1	8,0	1,7	0,2	0,0	0,0	0,0	0,0	5,2	8,8	8,8	10	0	0,00	0,00	0,00	120	0,10	0,07	1	1,6	1,2	0,04	0,10	4	40	1,10	49	14	9	384	0,3	0,20	11,0	1,1	42,9	0	
Friterade räkor	100	0,2	1 202	287	10,6	27,8	0,0	14,8	5,1	6,1	2,8	0,0	0,0	0,3	3,7	1,1	0,0	0,7	5,4	2,8	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,7	11	11	0,38	1,12	1,12	0	0,04	0,08	0	4,6	2,7	0,08	0,80	4	191	1,00	90	52	23	650	20,0	1,50	164,0	2,3	44,3	0	
Friterade räkor restaurang	100	1,1	1 621	387	6,9	24,7	0,0	29,1	3,9	10,9	12,9	0,0	0,0	0,1	2,6	1,0	0,1	0,1	10,6	12,0	0,7	0,0	0,0	0,1	0,0	0,0	0,5	0,0	0	6	0,10	12,50	12,50	5	0,03	0,01	0	1,7	0,4	0,03	0,21	14	233	0,37	58	29	17	384	11,3	0,51	48,7	1,2	37,0	0	
Friterat fläskkött gris m grönsaker kinesisk rätt	100	0,5	774	185	6,8	18,0	0,0	9,5	4,5	2,9	1,7	0,4	0,1	0,5	2,2	1,0	0,1	0,2	2,6	1,4	0,2	0,0	0,0	0,0	0,0	3,9	6,2	6,2	105	4	0,33	0,54	0,54	1 217	0,04	0,09	4	4,1	2,8	0,23	0,70	8	101	3,10	110	14	10	390	1,0	1,30	60,0	1,5	63,8	0	
Frukostflingor berik Corn flakes majs	100	2,5	1 591	380	8,0	82,5	0,0	0,9	0,2	0,2	0,3	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,2	0,3	0,0	0,0	0,0	0,0	0,0	2,9	6,4	5,0	0	0	0,00	0,02	0,02	6	1,19	1,73	0	14,0	13,2	0,08	0,07	15	69	7,16	85	19	20	966	7,0	0,36	0,0	2,9	3,2	0	
Frukostflingor berik Frosties	100	1,8	1 625	388	5,3	87,5	0,0	0,9	0,2	0,2	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,4	0,0	0,0	0,0	0,0	0,0	1,7	36,3	35,5	0	0	0,00	0,01	0,01	6	1,65	1,76	0	13,6	13,1	0,04	0,04	14	29	6,17	61	12	8	694	4,6	0,11	0,0	1,9	2,7	0	
Frukostflingor berik Havrefras	100	7,8	1 648	394	10,4	68,9	0,0	6,4	0,8	1,9	2,0	0,0	0,0	0,0	0,7	0,1	0,0	0,0	1,8	1,9	0,1	0,0	0,0	0,0	0,0	0,2	10,9	10,5	0	0	0,00	0,61	0,61	6	1,00	1,00	0	2,7	10,0	0,14	0,22	35	351	7,00	333	31	119	500	5,1	2,81	0,0	3,9	2,7	0	
Frukostflingor berik Kalaspuffar	100	4,0	1 653	395	5,7	86,4	0,0	1,5	0,2	0,2	0,6	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,2	0,6	0,1	0,0	0,0	0,0	0,0	8,6	37,4	23,9	0	0	0,00	0,21	0,21	6	1,61	1,52	0	17,8	16,8	0,10	0,00	19	114	10,17	168	19	44	5	3,8	0,96	0,0	0,7	1,8	0	
Frukostflingor berik Rice Krispies	100	1,2	1 612	385	5,4	86,3	0,0	1,2	0,2	0,4	0,4	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,3	0,4	0,0	0,0	0,0	0,0	0,0	0,8	8,6	8,2	0	0	0,00	0,23	0,23	6	2,09	1,61	0	17,7	16,8	0,24	0,05	46	127	7,16	130	18	39	1 010	2,4	0,97	0,0	3,2	2,8	0	
Frukostflingor berik ris socker kakao Coco Pops	100	2,4	1 644	393	4,6	85,2	0,0	2,6	1,3	0,8	0,2	0,0	0,0	0,0	0,5	0,7	0,0	0,0	0,8	0,2	0,0	0,0	0,0	0,0	0,0	0,4	35,4	35,0	0	0	0,00	0,18	0,18	6	1,12	1,35	0	13,6	12,8	0,15	0,06	40	103	7,24	212	27	44	734	1,8	0,95	0,0	2,4	2,8	0	
Frukostflingor berik Special K	100	3,3	1 616	386	14,6	75,1	0,0	1,7	0,3	0,3	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,2	0,7	0,0	0,0	0,0	0,0	0,0	1,1	14,9	13,1	0	0	0,00	0,26	0,26	6	2,30	2,70	0	32,4	30,0	3,30	1,70	333	204	8,17	248	44	56	824	13,4	2,24	0,0	3,0	2,2	0	
Frukostflingor berik vetekli Allbran Regular	100	14,7	1 524	364	9,9	66,8	0,0	2,8	0,4	0,3	1,3	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,3	1,2	0,1	0,0	0,0	0,0	0,0	5,7	17,2	16,4	0	0	0,00	0,92	0,92	6	1,25	1,40	0	16,6	15,0	1,70	0,85	333	398	4,51	652	30	146	725	4,3	3,14	0,0	3,5	2,4	0	
Frukostflingor flingblandning Basmüsli	100	9,7	1 536	367	9,3	67,6	0,0	4,1	0,6	1,0	1,3	0,0	0,0	0,0	0,5	0,1	0,0	0,0	1,0	1,3	0,1	0,0	0,0	0,0	0,0	0,2	1,6	1,3	0	0	0,00	0,39	0,39	6	0,27	0,07	0	5,0	3,4	0,29	0,12	35	273	3,03	370	22	86	163	1,4	2,16	0,0	1,6	7,8	0	
Frukostflingor flingblandning frukt olja: familjemüsli	100	9,3	1 583	378	9,4	66,1	0,0	6,1	1,1	3,0	1,8	0,0	0,2	0,1	0,6	0,1	0,0	0,0	2,9	1,7	0,1	0,0	0,0	0,0	0,0	10,3	2,6	2,1	0	0	0,00	1,35	1,35	6	0,26	0,06	0	4,8	3,3	0,32	0,00	34	250	2,46	442	27	81	81	2,1	1,85	0,0	1,5	7,5	0	
Frukostflingor flingblandning glutenfri frukt socker soja	100	4,3	1 541	368	7,5	73,2	0,0	3,7	0,5	0,8	1,4	0,0	0,0	0,0	0,3	0,1	0,0	0,0	0,8	1,2	0,1	0,0	0,0	0,0	0,0	10,3	12,3	12,0	1	0	0,00	1,40	1,40	15	0,20	0,07	0	4,1	2,8	0,32	0,00	31	215	3,70	379	24	114	220	23,8	1,96	0,0	1,4	10,0	0	
Frukostflingor flingblandning müsli frukt nötter socker el honung	100	8,2	1 543	369	8,0	70,6	0,0	3,8	0,5	0,9	1,3	0,0	0,0	0,0	0,5	0,1	0,0	0,0	0,8	1,3	0,1	0,0	0,0	0,0	0,0	11,4	17,7	11,4	0	0	0,00	1,50	1,50	0	0,28	0,59	0	3,2	1,9	0,15	0,00	41	272	2,96	410	25	89	174	1,4	2,16	0,0	1,7	7,6	0	
Frukostflingor frukt nötter/kokos olja socker ICA crunchy russin	100	5,8	1 883	450	7,1	65,5	0,0	16,3	6,3	6,5	2,8	0,2	0,8	0,4	4,3	0,6	0,1	0,0	6,4	2,7	0,1	0,0	0,0	0,0	0,0	6,1	19,5	19,0	1	0	0,00	2,53	2,53	11	0,26	0,05	0	2,7	1,5	0,20	0,00	23	233	2,81	356	21	71	153	2,3	1,70	0,0	1,4	4,0	0	
Frukostflingor frukt nötter/kokos olja socker Start, hasselnöt	100	8,0	1 905	455	9,9	61,2	0,0	17,1	4,8	8,4	3,2	0,0	0,0	0,1	4,0	0,5	0,1	0,0	8,2	3,1	0,1	0,0	0,0	0,0	0,0	4,6	16,2	15,7	1	0	0,00	2,88	2,88	14	0,29	0,09	0	2,8	1,2	0,25	0,20	35	345	3,63	411	24	118	150	7,1	2,91	0,0	1,9	2,0	0	
Frukostflingor frukt nötter/kokos olja socker: F-müsli tropical 	100	7,6	1 723	412	6,5	67,6	0,0	10,9	7,7	1,4	1,3	1,0	3,7	1,5	1,2	0,3	0,0	0,0	1,4	1,3	0,1	0,0	0,0	0,0	0,0	7,2	20,6	19,7	1	0	0,00	0,42	0,42	17	0,15	0,06	0	2,4	1,3	0,13	0,00	21	215	2,41	270	24	72	169	1,5	1,77	0,0	1,4	6,1	0	
Frukostflingor frukt nötter/kokos olja socker: ICA Crunchy naturell	100	5,7	1 928	461	7,4	64,8	0,0	17,7	7,1	6,9	2,9	0,2	0,8	0,4	4,9	0,6	0,1	0,0	6,7	2,8	0,1	0,0	0,0	0,0	0,0	1,8	21,3	20,8	1	0	0,00	2,07	2,07	11	0,29	0,06	0	2,8	1,6	0,18	0,00	24	240	2,59	315	19	74	168	2,0	1,57	0,0	1,4	3,0	0	
Frukostflingor frukt olja socker: Signum früsli crisp jordgubb	100	5,9	1 949	466	7,4	64,4	0,0	18,4	7,6	6,9	3,0	0,3	1,2	0,6	4,7	0,6	0,1	0,0	6,7	2,9	0,1	0,0	0,0	0,0	0,0	2,0	19,8	19,2	1	0	0,00	1,80	1,80	13	0,31	0,07	0	2,8	1,6	0,20	0,00	36	236	3,14	348	21	76	154	1,8	1,70	0,0	1,4	2,6	0	
Frukostflingor frukt olja: F-müsli banan	100	10,7	1 594	381	8,2	65,2	0,0	7,0	3,8	1,3	1,6	0,4	1,6	0,7	0,9	0,2	0,0	0,0	1,3	1,5	0,1	0,0	0,0	0,0	0,0	5,7	3,6	3,1	1	0	0,00	0,61	0,61	14	0,21	0,06	0	4,0	2,7	0,30	0,00	31	286	3,11	451	25	94	156	1,5	2,39	0,0	1,7	7,2	0	
